algorithm,percentage,distribution,parameters,mean_delay,pollution_pattern,fitness_tbr_cl-bm,precision_tbr_cl-bm,generalization_tbr_cl-bm,fitness_tbr_cl-cm,precision_tbr_cl-cm,generalization_tbr_cl-cm,fitness_tbr_pl-pm,precision_tbr_pl-pm,generalization_tbr_pl-pm,fitness_tbr_pl-cm,precision_tbr_pl-cm,generalization_tbr_pl-cm,fitness_tbr_cl-pm,precision_tbr_cl-pm,generalization_tbr_cl-pm
ILP_0.8,0.5,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,0.9981340271596763,0.7387309882416743,0.9769076589842756,0.9909516716186715,0.7121974696071554,0.9769076589842756,0.9384150426848626,0.7889317968902176,0.9769076589842756,0.9985189781501531,0.4620813327042338,0.9769076589842756
ILP_0.8,0.6,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,0.9981340271596763,0.7387309882416743,0.9769076589842756,0.9885880329504559,0.7110837901063811,0.9769076589842756,0.933921447344395,0.7908575975145395,0.9769076589842756,0.9983941400217139,0.4620813327042338,0.9769076589842756
ILP_0.8,0.7,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,0.9981340271596763,0.7387309882416743,0.9769076589842756,0.9870144005788004,0.6796251145579361,0.9769076589842756,0.9302517571560266,0.7914972883296305,0.9769076589842756,0.9982478166044172,0.4620813327042338,0.9769076589842756
ILP_0.8,0.8,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,0.9981340271596763,0.7387309882416743,0.9769076589842756,0.9878899532169477,0.8457274085414789,0.9769076589842756,0.9259370660211779,0.7926571684766365,0.9769076589842756,0.998479497612188,0.6351972903313324,0.9769076589842756
ILP_0.8,0.9,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,0.9981340271596763,0.7387309882416743,0.9769076589842756,0.985388817477805,0.7949488442357919,0.9769076589842756,0.9240872729581071,0.7926779450440748,0.9769076589842756,0.9983964946224535,0.5571169369081304,0.9769076589842756
ILP_1.0,0.1,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.5228308288899661,0.9753073724072964,1.0,0.5403333632626086,0.9769076589842756,0.9898193409447584,0.5727608048586763,0.9753073724072964,1.0,0.3349012893132003,0.9769076589842756
ILP_1.0,0.2,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.5228308288899661,0.9753073724072964,1.0,0.5571338068847619,0.9769076589842756,0.981856574899884,0.6215185270391617,0.9753073724072964,1.0,0.3136435293825365,0.9769076589842756
ILP_1.0,0.3,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.5228308288899661,0.9753073724072964,1.0,0.5622870036522643,0.9769076589842756,0.9760159834920392,0.6485671711116272,0.9753073724072964,1.0,0.3258075111588159,0.9769076589842756
ILP_1.0,0.4,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.5228308288899661,0.9753073724072964,1.0,0.5612926299655128,0.9769076589842756,0.9713520543012389,0.6753505764316095,0.9753073724072964,1.0,0.31017115059141354,0.9769076589842756
ILP_1.0,0.5,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.5228308288899661,0.9753073724072964,1.0,0.5679997061084482,0.9769076589842756,0.9679939006750942,0.6453233164429983,0.9753073724072964,1.0,0.3023551389253277,0.9769076589842756
ILP_1.0,0.6,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.5228308288899661,0.9753073724072964,1.0,0.5651380972059521,0.9769076589842756,0.9649588794271657,0.6369508581527286,0.9753073724072964,1.0,0.31017115059141354,0.9769076589842756
ILP_1.0,0.7,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.5228308288899661,0.9753073724072964,1.0,0.6252529338042612,0.9769076589842756,0.9629725674537302,0.709161373040387,0.9753073724072964,1.0,0.31017115059141354,0.9769076589842756
ILP_1.0,0.8,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.5228308288899661,0.9753073724072964,1.0,0.5663915094339622,0.9769076589842756,0.9608860033424872,0.6465240488304833,0.9753073724072964,1.0,0.3023551389253277,0.9769076589842756
ILP_1.0,0.9,gamma,"{'shape': 2, 'scale': 2}",86397.78016927955,DelayedEventLoggingPolluter,1.0,0.679254229525661,0.9423935156161204,1.0,0.5228308288899661,0.9753073724072964,1.0,0.6270619744269094,0.9769076589842756,0.9596197478059523,0.7107249234161181,0.9753073724072964,1.0,0.3136435293825365,0.9769076589842756
