,Unnamed: 0,algorithm,percentage,pollution_pattern,fitness_tbr_cl-bm,precision_tbr_cl-bm,generalization_tbr_cl-bm,fitness_tbr_cl-cm,precision_tbr_cl-cm,generalization_tbr_cl-cm,fitness_tbr_pl-pm,precision_tbr_pl-pm,generalization_tbr_pl-pm,fitness_tbr_pl-cm,precision_tbr_pl-cm,generalization_tbr_pl-cm,fitness_tbr_cl-pm,precision_tbr_cl-pm,generalization_tbr_cl-pm
59,59.0,IM_0.2,0.5,AggregatedEventLoggingPolluterhour,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.9919330228782778,0.6217092788169836,0.918267740014699,0.9223604758365302,0.6926035052644299,0.9141598785314684,0.993892726409454,0.59103256560389,0.9182543598909583
60,60.0,IM_0.2,0.6,AggregatedEventLoggingPolluterhour,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.9949132015939127,0.6590359960634148,0.9267347346562473,0.9223502395497594,0.6938518797068837,0.9141605140576572,0.9949132068384918,0.6102277380850056,0.9267330015168129
61,61.0,IM_0.2,0.7,AggregatedEventLoggingPolluterhour,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.9397064558438913,0.7014646299211603,0.9261019998857278,0.9223880369483399,0.7004119173121809,0.9141601448023827,0.939813206149732,0.6585848016830669,0.9261004534717882
62,62.0,IM_0.2,0.8,AggregatedEventLoggingPolluterhour,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.9952089161568078,0.615051143039645,0.9110892290867726,0.9223207201114072,0.6991832262393552,0.9141598848166128,0.9971843272494263,0.581889114074631,0.9110411211913887
63,63.0,IM_0.2,0.9,AggregatedEventLoggingPolluterhour,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.9949130012837818,0.6584731437552614,0.9267338276955708,0.922431922343636,0.6921454642624844,0.9141596110085386,0.9949132068384918,0.6102277380850056,0.9267330015168129
64,64.0,IM_0.2,0.1,AggregatedEventLoggingPolluterday,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.9943524867739588,0.6175250876923853,0.9180091806023981,0.922391391542017,0.6940613948729802,0.914160501585903,0.9962878919813867,0.5849626822087569,0.9179805522159621
65,65.0,IM_0.2,0.2,AggregatedEventLoggingPolluterday,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.9429950147262702,0.6932803811082099,0.9188892715566119,0.922389506295467,0.7014022379315311,0.9141606557675138,0.9431048069897042,0.6494413501538078,0.9188872147722186
66,66.0,IM_0.2,0.3,AggregatedEventLoggingPolluterday,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.9952570675276271,0.6171149292351674,0.9110685937704867,0.9223906780709843,0.7012416634301999,0.9141594382884078,0.9971843272494263,0.581889114074631,0.9110411211913887
67,67.0,IM_0.2,0.4,AggregatedEventLoggingPolluterday,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.9642380244427327,0.6632282047001695,0.9233654207385227,0.9223514363087658,0.6989954760419657,0.9141609362112296,0.964238068146368,0.6140584980858786,0.9233632672448516
68,68.0,IM_0.2,0.5,AggregatedEventLoggingPolluterday,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.9952539366059675,0.6143472145886089,0.9110513375683625,0.9223738177268764,0.6984476978660268,0.9141601550975593,0.9971843272494263,0.581889114074631,0.9110411211913887
69,69.0,IM_0.2,0.6,AggregatedEventLoggingPolluterday,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.9982043712085912,0.6526609980676507,0.919521946549325,0.9223684065582246,0.7005445106606188,0.9141609575579397,0.9982048076784641,0.6010842865557465,0.9195197628172433
70,70.0,IM_0.2,0.7,AggregatedEventLoggingPolluterday,1.0,0.5610530725384172,0.7968022568517868,0.9251383314940266,0.6954807764326355,0.9141587921275665,0.9982049892386662,0.652639052512521,0.9195212237520868,0.9223691099605702,0.7005677951280866,0.9141602426745015,0.9982048076784641,0.6010842865557465,0.9195197628172433
